project,task_name,source,target
hr-标签平台,meta_RB07012,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB08001,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB08002,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB08003,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB08004,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB08005,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB08006,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB09001,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB09002,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB09003,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB09004,ads.ads_user_tag_detail,ads.ads_tag_metadata
hr-标签平台,meta_RB09005,ads.ads_user_tag_detail,ads.ads_tag_metadata
